	texter	textee	date
47	Rolle Joseph	Maass Timon	2.2.2017
48	Behm Ida	Bott Gregor	11.2.2017
49	Dohmen Colin	Leibold Thorge	14.2.2017
50	Bott Gregor	Grahl Liah	31.2.2017
51	Bachert Anthony	Fauser Frederic	13.2.2017
52	Lass Rudolf	Behm Ida	4.2.2017
53	Dohmen Colin	Prevorsek Marlene	30.2.2017
54	Niermann Riko	Eder Eva	17.2.2017
55	Goerke Ella	Leibold Thorge	9.2.2017
56	Blau Leah	Blau Leah	21.2.2017
57	Hermanns Christin	Egerer Leni	26.2.2017
58	Bott Gregor	Scheunemann Dario	9.2.2017
59	Scheibner Christoph	Kretzer Julian	25.2.2017
60	Greco Nik	Lass Rudolf	9.2.2017
61	Leibold Thorge	Edel Margrit	21.2.2017
62	Bause Julia	Fauser Frederic	17.2.2017
63	Freese Kai	Maass Timon	22.2.2017
64	Wernicke Maik	Welling Isabelle	29.2.2017
65	Grahl Liah	Egerer Leni	12.2.2017
66	Klingler Karlotta	Kern Martina	21.2.2017
67	Michael Jill	Teichmann Hertha	9.2.2017
68	Rolle Joseph	Eder Eva	11.2.2017
69	Scheunemann Dario	Goerke Ella	13.2.2017
70	Hermanns Christin	Maass Timon	13.2.2017
71	Welling Isabelle	Eder Eva	29.2.2017
72	Grahl Liah	Teichmann Hertha	13.2.2017
73	Teichmann Hertha	Blau Leah	23.2.2017
74	Edel Margrit	Quandt Katarina	23.2.2017
75	Schroeder Elly	Goerke Ella	14.2.2017
76	Fauser Frederic	Strauss Achmet	18.2.2017
77	Theobald Gabriele	Sch_ttler Gustav	26.2.2017
78	Rolle Joseph	Kuhne Emmely	25.2.2017
79	Lass Rudolf	Prevorsek Marlene	19.2.2017
80	Michael Jill	Lass Rudolf	5.2.2017
81	Walz Grit	Walz Grit	8.2.2017
82	Kern Martina	Niermann Riko	23.2.2017
83	Walz Grit	Eder Eva	12.2.2017
84	Prevorsek Marlene	Dohmen Colin	24.2.2017
85	Hempel Lucie	Wernicke Maik	21.2.2017
86	Grahl Liah	Hempel Lucie	23.2.2017
87	Theobald Gabriele	Schunk B_rbel	15.2.2017
88	Behm Ida	Niermann Riko	17.2.2017
89	Welling Isabelle	Edel Margrit	31.2.2017
90	Dohmen Colin	Lass Rudolf	24.2.2017
91	Goerke Ella	Hempel Lucie	18.2.2017
92	Leibold Thorge	Michael Jill	9.2.2017
93	Quandt Katarina	Schroeder Elly	12.2.2017
94	Wernicke Maik	Schroeder Elly	25.2.2017
95	Quandt Katarina	Teichmann Hertha	16.2.2017
96	Goerke Ella	Bachert Anthony	23.2.2017
97	Kern Martina	Theobald Gabriele	7.2.2017
98	Bause Julia	Rolle Joseph	11.2.2017
99	Blau Leah	Leibold Thorge	27.2.2017
100	Edel Margrit	Teichmann Hertha	28.2.2017
101	Kuhne Emmely	Grahl Liah	4.2.2017
102	Egerer Leni	Egerer Leni	3.2.2017
103	Klingler Karlotta	Eder Eva	13.2.2017
104	Welling Isabelle	Theobald Gabriele	17.2.2017
105	Lass Rudolf	Welling Isabelle	7.2.2017
106	Scheunemann Dario	Prevorsek Marlene	7.2.2017
107	Behm Ida	Bott Gregor	10.2.2017
108	Hempel Lucie	Wernicke Maik	4.2.2017
109	Scheibner Christoph	Grahl Liah	3.2.2017
110	Scheibner Christoph	Paschke Lydia	9.2.2017
111	Strauss Achmet	Kern Martina	5.2.2017
112	Welling Isabelle	Wernicke Maik	12.2.2017
113	Blau Leah	Bott Gregor	26.2.2017
114	Freese Kai	Behm Ida	21.2.2017
115	Schunk B_rbel	Dohmen Colin	10.2.2017
116	Welling Isabelle	Paschke Lydia	16.2.2017
117	Rolle Joseph	Krah Horst	31.2.2017
118	Rolle Joseph	Scheibner Christoph	6.2.2017
119	Edel Margrit	Theobald Gabriele	18.2.2017
120	Theobald Gabriele	Sternberg Moritz	28.2.2017
121	Paschke Lydia	Kretzer Julian	7.2.2017
122	Bachert Anthony	Lausch B_rbel	9.2.2017
123	Paschke Lydia	Felske Wiebke	20.2.2017
124	Stegemann Fabio	Sternberg Moritz	14.2.2017
125	Leibold Thorge	Fauser Frederic	4.2.2017
126	Rolle Joseph	Theobald Gabriele	18.2.2017
127	Rolle Joseph	Lausch B_rbel	3.2.2017
128	Scheibner Christoph	Teichmann Hertha	17.2.2017
129	Schroeder Elly	Behm Ida	1.2.2017
130	Krah Horst	Lass Rudolf	29.2.2017
131	Schroeder Elly	Krah Horst	25.2.2017
132	Egerer Leni	Scheunemann Dario	6.2.2017
133	Lass Rudolf	Edel Margrit	7.2.2017
134	Bunzel Jona	Eder Eva	26.2.2017
135	Schunk B_rbel	Rolle Joseph	30.2.2017
136	Schunk B_rbel	Niessen S_ren	29.2.2017
137	Sternberg Moritz	Bause Julia	28.2.2017
138	Freese Kai	Teichmann Hertha	17.2.2017
139	Strauss Achmet	Walz Grit	19.2.2017
140	Lausch B_rbel	Maass Timon	4.2.2017
141	Walz Grit	Kuhne Emmely	27.2.2017
142	Behm Ida	Paschke Lydia	21.2.2017
143	Paschke Lydia	Bunzel Jona	31.2.2017
144	Maass Timon	Sch_ttler Gustav	9.2.2017
145	Behm Ida	Goerke Ella	12.2.2017
146	Greco Nik	Grahl Liah	9.2.2017
147	Rolle Joseph	Schunk B_rbel	15.2.2017
148	Niessen S_ren	Bachert Anthony	2.2.2017
149	Sternberg Moritz	Bause Julia	17.2.2017
